collection,lesson,lesson_url,lesson_size
all-about-vietnamese-culture-and-society,all-about-3-painless-vietnamese-grammar,https://mdn.illops.net/vietnamesepod101/ALL_L3_082613_vpod101.mp3,5.36712646484375
all-about-vietnamese-culture-and-society,all-about-8-top-5-things-you-need-to-know-about-vietnamese-society,https://mdn.illops.net/vietnamesepod101/ALL_L8_093013_vpod101.mp3,10.237582206726074
all-about-vietnamese-culture-and-society,all-about-7-top-5-vietnamese-dishes,https://mdn.illops.net/vietnamesepod101/ALL_L7_092313_vpod101.mp3,8.624460220336914
all-about-vietnamese-culture-and-society,all-about-5-top-5-mustknow-phrases-for-learning-vietnamese,https://mdn.illops.net/vietnamesepod101/ALL_L5_090913_vpod101.mp3,6.30462646484375
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-2-talking-nationality-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L2_071513_vpod101.mp3,10.851999282836914
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-3-useful-phrases-for-learning-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L3_072213_vpod101.mp3,18.027342796325684
asking-for-directions-in-vietnam,vietnamese-listening-comprehension-for-beginners-6-getting-vietnamese-directions,-1,0.0
asking-for-directions-in-vietnam,survival-phrases-s2-29-directions-in-southern-vietnamese-2,https://mdn.illops.net/vietnamesepod101/S_S2L29_012616_vpod101.mp3,12.745136260986328
asking-for-directions-in-vietnam,lower-beginner-5-finding-your-way-to-a-famous-vietnamese-tourist-attraction,https://mdn.illops.net/vietnamesepod101/LB_S1L5_080414_vpod101.mp3,22.644670486450195
asking-for-directions-in-vietnam,survival-phrases-s2-27-asking-where-you-can-find-something-in-southern-vietnamese,https://mdn.illops.net/vietnamesepod101/S_S2L27_011216_vpod101.mp3,9.71739387512207
asking-for-directions-in-vietnam,survival-phrases-28-looking-around-locally,https://mdn.illops.net/vietnamesepod101/S_S1L28_071612_vpod101.mp3,7.262235641479492
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-5-counting-from-1001000000-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L5_080513_vpod101.mp3,17.743940353393555
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-4-counting-from-1100-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L4_072913_vpod101.mp3,15.233975410461426
asking-for-directions-in-vietnam,survival-phrases-29-asking-directions-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L29_072312_vpod101.mp3,8.476561546325684
culture-class-holidays-in-vietnam,buffalo-fighting-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L24_061515_vpod101.mp3,6.9621124267578125
asking-for-directions-in-vietnam,survival-phrases-s2-28-directions-in-southern-vietnamese-1,https://mdn.illops.net/vietnamesepod101/S_S2L28_011916_vpod101.mp3,10.980546951293944
culture-class-holidays-in-vietnam,phu-day-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L23_060815_vpod101.mp3,5.493680953979492
asking-for-directions-in-vietnam,survival-phrases-27-where-can-i-find-this-in-vietnam,https://mdn.illops.net/vietnamesepod101/S_S1L27_070912_vpod101.mp3,7.97911262512207
culture-class-holidays-in-vietnam,ong-fish-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L21_052515_vpod101.mp3,5.1162109375
asking-for-directions-in-vietnam,learn-vietnamese-in-three-minutes-12-where-are-you,-1,0.0
asking-for-directions-in-vietnam,learn-vietnamese-in-three-minutes-22-asking-where-in-vietnamese,-1,0.0
culture-class-holidays-in-vietnam,bai-dinh-pagoda-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L20_051815_vpod101.mp3,5.802594184875487
starting-to-learn-vietnamese-basic-bootcamp,basic-bootcamp-1-self-introduction-basic-greetings-in-vietnamese,https://mdn.illops.net/vietnamesepod101/BB_L1_070813_vpod101.mp3,12.984692573547365
culture-class-holidays-in-vietnam,lim-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L18_050415_vpod101.mp3,5.361048698425293
culture-class-holidays-in-vietnam,elephant-racing-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L25_062215_vpod101.mp3,5.010581016540527
culture-class-holidays-in-vietnam,huong-pagoda-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L19_051115_vpod101.mp3,5.678431510925293
culture-class-holidays-in-vietnam,midautumn-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L17_042715_vpod101.mp3,5.28102970123291
culture-class-holidays-in-vietnam,invalids-and-martyrs-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L12_032315_vpod101.mp3,5.743303298950195
culture-class-holidays-in-vietnam,international-kites-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L15_041315_vpod101.mp3,5.6037940979003915
culture-class-holidays-in-vietnam,kitchen-guardians-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L16_042015_vpod101.mp3,6.0285987854003915
culture-class-holidays-in-vietnam,valentines-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L8_022315_vpod101.mp3,6.417131423950195
culture-class-holidays-in-vietnam,international-childrens-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L11_031615_vpod101.mp3,5.508928298950195
culture-class-holidays-in-vietnam,international-workers-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L9_030215_vpod101.mp3,5.381975173950195
culture-class-holidays-in-vietnam,vietnam-teachers-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L10_030915_vpod101.mp3,5.1985206604003915
culture-class-holidays-in-vietnam,president-ho-chi-minhs-birthday,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L7_021615_vpod101.mp3,6.442242622375487
culture-class-holidays-in-vietnam,hung-kings-commemorations,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L5_020215_vpod101.mp3,5.400808334350586
culture-class-holidays-in-vietnam,liberation-dayreunification-day,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L6_020915_vpod101.mp3,4.961355209350586
culture-class-holidays-in-vietnam,giong-festival,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L22_060115_vpod101.mp3,7.714663505554199
culture-class-holidays-in-vietnam,national-day-in-vietnam,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L4_012615_vpod101.mp3,4.893693923950195
daily-conversations-in-vietnamese-beginner,beginner-22-a-confusing-situation-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L22_113015_vpod101.mp3,20.48766231536865
culture-class-holidays-in-vietnam,tet-holiday,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L3_011915_vpod101.mp3,9.61517333984375
culture-class-holidays-in-vietnam,christmas,https://mdn.illops.net/vietnamesepod101/CCHIV_S1L2_011215_vpod101.mp3,5.837471961975098
daily-conversations-in-vietnamese-beginner,beginner-21-planning-your-evening-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L21_112315_vpod101.mp3,20.094645500183105
daily-conversations-in-vietnamese-beginner,beginner-19-meeting-the-family-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L19_110915_vpod101.mp3,20.39997100830078
daily-conversations-in-vietnamese-beginner,beginner-18-topping-up-your-vietnamese-phone-card,https://mdn.illops.net/vietnamesepod101/B_S1L18_110215_vpod101.mp3,21.1158504486084
daily-conversations-in-vietnamese-beginner,beginner-17-going-on-a-shopping-spree-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L17_102615_vpod101.mp3,19.58763027191162
daily-conversations-in-vietnamese-beginner,beginner-15-exchanging-currency-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L15_101215_vpod101.mp3,21.59177589416504
daily-conversations-in-vietnamese-beginner,beginner-14-how-bad-is-vietnamese-bureaucracy,https://mdn.illops.net/vietnamesepod101/B_S1L14_100515_vpod101.mp3,23.752171516418453
daily-conversations-in-vietnamese-beginner,beginner-16-is-your-vietnamese-flight-delayed,https://mdn.illops.net/vietnamesepod101/B_S1L16_101915_vpod101.mp3,23.08173084259033
daily-conversations-in-vietnamese-beginner,beginner-12-is-there-a-problem-with-your-vietnamese-meal,https://mdn.illops.net/vietnamesepod101/B_S1L12_092115_vpod101.mp3,22.610589027404785
daily-conversations-in-vietnamese-beginner,beginner-13-who-should-pay-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L13_092815_vpod101.mp3,19.427393913269047
daily-conversations-in-vietnamese-beginner,beginner-10-getting-a-bargain-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L10_090715_vpod101.mp3,23.11282157897949
daily-conversations-in-vietnamese-beginner,beginner-11-is-this-coupon-valid-in-this-vietnamese-store,https://mdn.illops.net/vietnamesepod101/B_S1L11_091415_vpod101.mp3,23.36553192138672
daily-conversations-in-vietnamese-beginner,beginner-8-whats-your-favorite-vietnamese-food,https://mdn.illops.net/vietnamesepod101/B_S1L8_082415_vpod101.mp3,21.566085815429688
daily-conversations-in-vietnamese-beginner,beginner-9-what-should-we-do-tonight-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L9_083115_vpod101.mp3,22.710238456726074
daily-conversations-in-vietnamese-beginner,beginner-7-going-to-a-language-school-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L7_081715_vpod101.mp3,23.688395500183105
daily-conversations-in-vietnamese-beginner,beginner-20-talking-about-yourself-in-vietnamese,https://mdn.illops.net/vietnamesepod101/B_S1L20_111615_vpod101.mp3,20.105806350708008
daily-conversations-in-vietnamese-beginner,beginner-6-making-a-phone-call-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L6_081015_vpod101.mp3,20.35771942138672
daily-conversations-in-vietnamese-beginner,beginner-3-sending-a-package-from-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L3_072015_vpod101.mp3,23.545698165893555
daily-conversations-in-vietnamese-beginner,beginner-4-has-the-vietnamese-airline-lost-your-luggage,https://mdn.illops.net/vietnamesepod101/B_S1L4_072715_vpod101.mp3,23.575194358825684
daily-conversations-in-vietnamese-beginner,beginner-2-can-you-leave-your-luggage-at-this-vietnamese-hotel,https://mdn.illops.net/vietnamesepod101/B_S1L2_071315_vpod101.mp3,26.26572322845459
learn-with-video,working-with-your-vietnamese-skills,-1,0.0
learn-with-video,learn-the-best-way-to-spend-your-day-with-this-vietnamese-video-lesson,-1,0.0
learn-with-video,whats-in-your-daily-cycle-of-vietnamese,-1,0.0
learn-with-video,its-not-whether-you-win-or-lose-its-how-your-vietnamese-helped,-1,0.0
learn-with-video,did-you-know-learning-vietnamese-is-considered-a-sportsometimes,-1,0.0
learn-with-video,the-best-way-to-break-the-ice-in-vietnamese,-1,0.0
daily-conversations-in-vietnamese-beginner,beginner-1-how-many-seasons-are-there-in-vietnam,https://mdn.illops.net/vietnamesepod101/B_S1L1_070714_vpod101.mp3,25.50759220123291
learn-with-video,have-your-vietnamese-skills-been-declared-a-natural-disaster,-1,0.0
learn-with-video,what-will-your-vietnamese-skills-bring-to-the-table,-1,0.0
learn-with-video,would-your-vietnamese-skills-help-you-out-of-this-situation,-1,0.0
learn-with-video,all-the-joy-of-learning-vietnamese-begins-right-here,-1,0.0
learn-with-video,bear-through-this-vietnamese-video-lesson-and-learn-awesome-forest-animal-vocabulary,-1,0.0
learn-with-video,have-a-whale-of-a-time-with-vietnamesepod101com,-1,0.0
learn-with-video,birds-of-a-feather-flock-together-at-vietnamesepod101com,-1,0.0
daily-conversations-in-vietnamese-beginner,beginner-5-finding-your-way-to-a-famous-vietnamese-tourist-attraction,https://mdn.illops.net/vietnamesepod101/B_S1L5_080315_vpod101.mp3,23.214862823486328
learn-with-video,its-a-jungle-out-there-let-vietnamesepod101com-show-you-an-easier-way,-1,0.0
learn-with-video,oh-what-a-tangled-web-we-weave-when-we-teach-vietnamese-insect-vocabulary,-1,0.0
learn-with-video,vietnamesepod101com-is-not-your-ordinary-wolf-in-sheeps-clothing,-1,0.0
learn-with-video,if-this-vietnamese-video-lesson-makes-you-feel-froggy-then-jump,-1,0.0
learn-with-video,you-dont-have-to-go-down-under-to-experience-the-great-outback-with-vietnamesepod101com,-1,0.0
learn-with-video,this-vietnamese-lesson-proves-that-curiosity-doesnt-always-kill-the-cat,-1,0.0
learn-with-video,this-vietnamese-lesson-is-not-just-for-the-birds,-1,0.0
learn-with-video,you-dont-have-to-go-on-safari-to-pickup-the-vietnamese-vocabulary-to-talk-about-it,-1,0.0
learn-with-video,vietnamese-vocabulary-for-insects-doesnt-have-to-bug-you-any-longer,-1,0.0
learn-with-video,vietnamesepod101com-will-help-keep-you-afloat-with-vietnamese-marine-life-vocabulary,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-25-elephant-racing-festival,-1,0.0
learn-with-video,learning-vietnamese-vocabulary-for-farm-animals-has-never-been-more-fun,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-24-buffalos-fight-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-22-giong-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-21-ong-fish-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-23-phu-day-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-20-bai-dinh-pagoda-festival,-1,0.0
learn-with-video,learning-vietnamese-vocabulary-for-common-animals-is-a-walk-in-the-park,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-19-huong-pagoda-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-18-lim-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-17-midautumn-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-15-international-kites-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-16-kitchen-guardians,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-12-remembrance-day,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-13-new-lesson,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-14-hue-festival,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-11-international-childrens-day,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-10-vietnam-teachers-day,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-9-international-workers-day,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-7-president-ho-chi-minhs-birthday,-1,0.0
flexing-your-fluency,video-culture-class-vietnamese-holidays-8-valentines-day,-1,0.0
